Variable,Importancia
Poliuria,0.3930778047044005
Polidipsia,0.12151981274280707
Genero,0.1190430768254453
Edad,0.07687826255280224
Alopecia,0.058795667128582786
Rigidez_muscular,0.05600946003686714
Cicatrizacion_lenta,0.03837000172518318
Candidiasis_genital,0.029602700840415292
Irritabilidad,0.026907772894368437
Perdida_repentina_peso,0.026881170579357915
Obesidad,0.019841595694797744
Picazon,0.011107899719049718
Vision_borrosa,0.008208177051592496
Debilidad,0.00507553230659131
Polifagia,0.00498455592633179
Paresia_parcial,0.0036965092714071313
